"","StudentID","thesis_grades"
"345",1438085,7
"346",1439153,7
"347",1439420,0
"348",1447841,0
"349",1448180,8
"350",1454504,6
"351",1454561,7
"352",1455050,7.5
"353",1458677,7
"354",1461350,7.5
"355",1462805,7
"356",1463630,9
"357",1470530,7
"358",1474910,7.5
"359",1509974,7.5
"360",1531463,7
"361",1538807,13
"362",1539902,6
"363",1541189,0
"364",1548350,6.5
"365",1559555,7.5
"366",1563362,8
"367",1565642,8
"368",1567013,13.5
"369",1567142,8.5
"370",1568801,0
"371",1580381,7.5
"372",1589759,6.5
"373",1634246,7.5
"374",1656863,8.5
"375",1659335,8.5
"376",1666541,7.5
"377",1676669,0
"378",1706720,0
"379",1707305,0
"380",1707314,0
"381",1711028,8
"382",1711100,8
"383",1711853,8
"384",1714727,17
"385",1717061,9
"386",1722965,7.5
"387",1723118,8
"388",1723142,9.5
"389",1723457,0
"390",1723523,8
"391",1723628,6.5
"392",1723814,7.5
"393",1732382,8
"394",1734278,6.5
"395",1734302,8
"396",1734392,8
"397",1734416,7.5
"398",1734545,7
"399",1734593,8
"400",1734836,6
"401",1734884,6
"402",1734950,7
"403",1734974,7.5
"404",1735055,7.5
"405",1735127,8.5
"406",1735298,7.5
"407",1735346,7.5
"408",1735451,7
"409",1735475,7.5
"410",1735541,0
"411",1735589,0
"412",1735613,8
"413",1735766,7
"414",1735856,7.5
"415",1735904,6.5
"416",1736057,7
"417",1736147,8
"418",1736252,9
"419",1736414,8
"420",1736471,0
"421",1736519,8.5
"422",1736543,8
"423",1736567,7.5
"424",1736696,7
"425",1736738,8
"426",1736762,0
"427",1736786,7
"428",1736810,8
"429",1736834,7
"430",1737065,8
"431",1737089,7.5
"432",1737113,9
"433",1737218,6
"434",1737290,8
"435",1737404,7
"436",1737509,7.5
"437",1737533,6.5
"438",1737557,8.5
"439",1737647,7.5
"440",1737728,8
"441",1737776,8
"442",1737800,6.5
"443",1737824,7.5
"444",1738043,8.5
"445",1738172,7
"446",1738238,7
"447",1738262,7
"448",1738391,7
"449",1738439,7
"450",1738487,0
"451",1738529,7
"452",1738658,8
"453",1738811,7
"454",1738820,8
"455",1738973,0
"456",1738997,7
"457",1739078,9
"458",1739216,7
"459",1739240,7.5
"460",1739321,7.5
"461",1739435,8.5
"462",1739684,7
"463",1739726,8
"464",1739774,8
"465",1739831,8.5
"466",1739855,9
"467",1739927,0
"468",1740035,8
"469",1740059,8.5
"470",1740107,0
"471",1740260,6
"472",1740326,0
"473",1740374,8
"474",1740431,0
"475",1740770,7.5
"476",1740941,0
"477",1740965,6.5
"478",1741118,7
"479",1741232,6.5
"480",1741280,0
"481",1741385,7.5
"482",1741457,6.5
"483",1741523,8.5
"484",1741547,9
"485",1741724,8
"486",1741781,8
"487",1741805,7.5
"488",1741814,8
