"StudentID","thesis_grades"
1742720,7.5
1754519,8.5
1754915,7.5
1754939,7
1754987,7
1755041,0
1755356,8.5
1762214,8
1762319,8
1770044,7.5
1770149,8
1770521,7.5
1770593,7
1770707,0
1770812,7
1770926,0
1775750,8
1777403,8
1780877,8.5
1780958,7
1781006,8.5
1781030,6.5
1781054,8
1783436,6
1793210,8
1796966,7.5
1805282,7
1805702,8.5
1807712,7.5
1819697,6
1819802,7.5
1819868,7
1819916,0
1822541,0
1823987,7
1829309,8
1831058,7.5
1832036,8.5
1832837,8
1837034,7.5
1840718,0
1841057,7.5
1843067,0
1843973,7.5
1878059,9
1910300,7.5
16801511,0
16801649,0
16801892,0
16802093,0
16802135,0
16802183,0
16802312,0
16802708,0
16814492,7
16816946,7.5
16831787,7.5
16831853,7
16840607,8.5
16845572,9
16847942,0
16854020,0
16854278,8
16862558,7.5
16867490,6.5
16868219,0
16868243,0
16868954,7.5
16880090,7.5
16902725,7.5
16904852,7
16905575,7.5
16907039,7.5
16915502,8.5
16917536,9
16945019,7
16950710,8
16953116,6.5
16953998,8
16963529,7
16966160,7
16966250,7
16967156,7
16967309,0
16967624,7
16969496,7.5
16972193,8.5
16974131,7.5
16975910,7.5
16976282,0
16981439,0
16981463,0
16981529,7.5
16981553,7.5
16981577,8.5
16981658,8
16981706,5.5
16981844,6.5
16981901,7
16981949,7
16981997,8
16982102,7.5
16982168,7.5
16982216,8.5
16982240,8
16982264,8.5
16982321,7
16982369,8.5
16982393,7.5
16982435,6.5
16982459,0
16982507,6.5
16982660,0
16982774,7
16982831,7
16982879,8
16982903,0
16982927,7.5
16983053,8.5
16983077,0
16983182,0
16983230,8
16983311,7.5
16983449,7.5
16983497,0
16983602,0
16983692,0
16983869,7.5
16983935,7
16983959,7
16984226,9
16984355,9
16984427,9
16984517,0
16984598,7
16984913,7.5
16985042,8
16985204,8
16985285,7
16985333,8
16985423,8.5
16985552,8
16985600,8
16985681,7
16985714,7
16985795,7
16985948,9
16985996,8
16986098,7
16986146,7
16986251,7
16986365,7
16986566,0
16986680,7.5
16986809,8
16986857,7.5
16987100,7
16987214,7
16987295,8
16987343,15.5
16987496,6.5
16987562,7
16987610,7.5
16987691,8
16987787,8
16987853,8.5
16987958,7
16988006,7
16988054,8
16988201,8.5
16988249,7
16988297,8
16988540,8
16988621,8.5
16988735,6.5
16988888,7.5
16988936,8
16989062,8
16989134,7.5
16989215,7.5
16989287,9
16989329,7
16989377,7
16989530,8.5
16989611,6
16989902,6.5
16990235,7.5
16990388,0
16990436,6
16990574,7.5
16990655,8.5
16990703,0
16990808,8
16990946,8
16990994,6.5
16991237,8.5
16991456,6.5
16991504,9
16991609,7.5
16991657,8
16991747,7.5
16991852,7
16992050,8.5
16992131,0
16992203,8.5
16992308,8.5
16992398,7.5
16992689,7.5
16992737,7.5
16992842,8.5
16992932,8.5
16992980,0
16993109,8.5
16993157,8
16993223,0
16993247,8
16993328,7
16993352,7
16993376,0
16993400,7.5
16993505,7
16993595,8.5
16993667,0
16993796,10
16993862,8
16993886,7.5
16993910,5.5
16993991,8
16994039,7.5
16994063,7.5
16994087,6
16994129,6
16994153,7
16994258,7
16994354,9.5
16994420,7
16994444,8.5
16994501,8.5
16994525,7.5
16994549,7.5
16994573,8
16994597,9
16994702,6.5
16994768,8.5
16994792,0
16994816,7
16994840,7.5
16994864,7
16994993,9
16995071,8
16995095,8
16995119,8.5
16995143,7
16995248,6
16995272,0
16995296,8.5
16995362,7.5
16995410,7.5
16995491,9
16995515,7.5
16995539,9
16995563,8
16995587,7
16995629,7
17006171,8
17008625,9
17014268,7
17015027,8
17017628,8.5
17017652,7
17017700,7
17017814,8
17017871,7
17017919,7.5
17017943,8
17018363,0
17021327,8.5
17023976,7.5
17024195,8.5
17030033,0
17032463,8
17033078,0
17033321,8
17033750,9
17036090,6
17036180,8.5
17036309,7.5
17036333,7.5
17036423,7.5
17036552,0
17036624,8
17038181,0
17047565,8.5
17047790,7.5
17047880,8
17047985,9
17056562,8
17060165,7
17060318,0
17060366,7
17060456,8.5
17060480,7
17060561,8
17060585,7.5
17060609,7
17060876,8
17060924,7.5
17061050,8
17070230,7
17071184,7
17071598,7.5
17072819,7.5
17077040,8
17077235,7.5
17080223,9
17080643,8
17082362,8
17084489,7.5
17084513,6
17084618,8.5
17084642,8
17084861,7.5
17084933,7
17085851,0
17086814,8.5
17087048,8.5
17087654,7.5
17095916,0
17096021,8.5
17097278,7.5
17097302,7
17097368,6.5
17097440,7
17097464,8.5
17099414,6.5
17099471,7
17101292,6.5
17102666,0
17105825,6
17105849,7.5
17112323,7
17117648,7
17118623,8
17147876,7.5
17170202,8
17171351,7.5
17188148,7.5
17189321,0
17189393,9
17189612,8.5
17189750,0
17189879,0
17190035,0
17190083,0
17191037,8.5
17192744,7
17201384,7
17202593,7
17230877,8.5
17233016,8
17233145,0
17233169,0
17234456,0
17239421,7
17241374,0
17245397,7
17248241,0
17248265,0
17248313,0
17263478,0
17263592,0
17264150,7.5
17267348,8.5
17302526,0
17314799,7
17316098,0
17316704,7.5
17317124,7.5
17330801,8
17339474,0
17345690,0
17348363,8
17348711,8
17350373,0
17350502,0
17353847,7.5
17365508,7
17365694,8
17379218,8
17381750,7.5
17381855,0
17385656,8.5
17387054,7.5
17393525,0
17394911,0
17396885,9
17397260,0
17397326,7.5
17397374,8.5
17397455,7
17397770,7
17398919,7
17401775,8.5
17405225,0
17407808,0
17409551,7
17409575,7
17409599,7
17409641,8.5
17409689,8.5
17409713,7
17409737,7
17409818,7
17409842,7.5
17409932,7.5
17410004,8.5
17410061,8.5
17410133,8
17410223,8
17410247,7
17410352,7.5
17410424,9
17410481,9
17410505,8.5
17410514,9
17410643,7
17410772,0
17410796,16.5
17410862,7.5
17410934,9
17410991,7.5
17411039,7.5
17411087,6
17411129,7.5
17411153,0
17411282,7.5
17411306,7.5
17411501,7.5
17411525,8
17411549,0
17411768,6.5
17411840,7
17411945,8
17412071,6.5
17412143,8.5
17412167,8.5
17412248,9
17412272,7.5
17412515,8
17412539,0
17412629,0
17412653,7
17412758,7
17412806,7.5
17412830,8.5
17412911,8
17412920,7.5
17413073,7.5
17413097,7.5
17413178,6.5
17413202,0
17413268,8
17413292,7
17413316,7.5
17413340,0
17413364,8
17413445,7.5
17413469,8.5
17413493,6
17413535,9.5
17413559,6
17413583,8
17413607,7.5
17413712,7
